FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
12035,FL,"Flagler County, FL",52549,0.135778036,0.432834117,0.431387848,0.892,0.878,117515,0.3121,0.4559,0.5597,0.6277,0.0554,"Flagler County, FL",Q2,FALSE,0.59505
12037,FL,"Franklin County, FL",10143,0.269249729,0.355318939,0.375431332,0.945,0.95,12276,0.9017,0.9644,0.6176,0.5711,0.8902,"Franklin County, FL",Q4: Most vulnerable,TRUE,0.92585
12039,FL,"Gadsden County, FL",25764,0.001630182,0.160262382,0.838107437,0.69,0.692,43746,0.9742,0.8855,0.971,0.9532,0.9405,"Gadsden County, FL",Q4: Most vulnerable,FALSE,0.8331
12041,FL,"Gilchrist County, FL",12089,0.002398875,0.075440483,0.922160642,0.701,0.702,18070,0.7337,0.455,0.896,0.3697,0.9141,"Gilchrist County, FL",Q3,FALSE,0.71785
12043,FL,"Glades County, FL",10666,0.072567035,0.371929496,0.555503469,0.934,0.926,12179,0.9058,0.9516,0.7735,0.8088,0.7229,"Glades County, FL",Q4: Most vulnerable,TRUE,0.9159
12045,FL,"Gulf County, FL",11727,0.083567835,0.371450499,0.544981666,0.875,0.874,15002,0.7082,0.6125,0.6252,0.5667,0.7856,"Gulf County, FL",Q3,FALSE,0.7911
12047,FL,"Hamilton County, FL",9590,8.34202e-4,0.18717414,0.811991658,0.687,0.681,13492,0.9803,0.9777,0.8622,0.8317,0.9574,"Hamilton County, FL",Q4: Most vulnerable,FALSE,0.83065
12049,FL,"Hardee County, FL",14750,0.035728814,0.230440678,0.733830508,0.953,0.931,25528,0.993,0.9876,0.8979,0.8899,0.9685,"Hardee County, FL",Q4: Most vulnerable,TRUE,0.962
12051,FL,"Hendry County, FL",21226,0.16922642,0.187081881,0.643691699,0.898,0.869,39902,0.9946,0.993,0.8575,0.9625,0.9761,"Hendry County, FL",Q4: Most vulnerable,TRUE,0.9318
12053,FL,"Hernando County, FL",94876,0.436084995,0.22420844,0.339706564,0.865,0.858,196621,0.6602,0.7537,0.7623,0.6185,0.3048,"Hernando County, FL",Q3,FALSE,0.7591
12055,FL,"Highlands County, FL",63810,0.130841561,0.424400564,0.444757875,0.93,0.908,102339,0.8673,0.818,0.8664,0.7286,0.7607,"Highlands County, FL",Q4: Most vulnerable,TRUE,0.88765
12057,FL,"Hillsborough County, FL",501605,0.501252978,0.222780873,0.275966149,0.906,0.887,1468560,0.7789,0.7327,0.49,0.8871,0.7897,"Hillsborough County, FL",Q4: Most vulnerable,TRUE,0.8329500000000001
12059,FL,"Holmes County, FL",14973,3.33934e-4,0.062980031,0.936686035,0.576,0.561,19529,0.8081,0.7786,0.77,0.4248,0.833,"Holmes County, FL",Q4: Most vulnerable,FALSE,0.68455
